526,977
391,656
451,424
467,627
392,646
516,543
483,363
418,044
442,356
431,453
463,425
502,311
414,085
518,168
533,405
501,069
577,683
460,834
498,891
544,593
504,168
514,263
538,558
453,489
519,781
508,559
519,833
503,060
487,073
464,331
514,494
462,213
467,977
481,459
454,215
527,231
524,730
463,496
502,179
514,613
453,976
563,911
499,254
518,477
589,140
479,475
460,253
417,441
481,970
442,823
561,518
488,001
478,345
474,201
454,872
447,095
506,979
470,521
428,260
535,720
505,506
541,595
381,884
504,114
442,208
424,434
449,830
464,158
371,938
554,899
486,288
501,039
475,446
521,308
446,735
514,721
490,468
506,919
541,863
458,288
472,919
471,701
481,665
532,279
635,204
492,644
590,678
515,770
489,422
511,302
547,864
437,420
622,382
532,170
571,605
460,555
483,364
503,388
528,559
506,722
591,274
519,673
447,691
586,441
502,068
413,704
478,838
458,827
518,909
543,450
522,413
495,738
519,194
540,769
567,555
445,570
603,641
367,342
497,593
537,573
447,615
518,181
502,365
436,860
514,955
435,266
550,403
489,474
417,429
461,753
460,966
420,311
515,452
530,190
482,967
499,471
478,065
444,256
457,536
444,960
486,193
514,465
611,078
478,903
473,827
415,077
457,744
468,313
490,446
507,279
471,526
500,224
473,396
525,304
612,433
552,768
419,498
572,590
541,358
385,193
480,352
628,887
438,742
454,414
492,739
515,671
496,834
525,389
515,893
531,866
404,748
520,503
534,458
600,628
472,210
455,695
499,926
492,863
473,327
528,640
527,633
414,889
605,598
499,803
404,480
467,752
494,660
462,509
498,872
547,036
543,002
439,556
449,434
552,644
582,722
373,922
432,062
597,761
498,210
437,626
494,027
539,418
502,474
421,223
569,858
569,754
530,410
460,119
525,443
494,462
553,154
508,770
621,678
516,678
445,320
466,595
532,845
529,747
495,084
535,028
504,299
543,602
517,779
554,650
565,493
505,766
522,696
533,021
565,928
494,677
588,862
507,750
413,797
476,996
406,126
510,112
568,098
533,144
497,447
419,407
451,965
534,256
518,078
486,829
497,628
535,498
518,664
668,172
483,339
497,375
478,001
516,634
469,196
495,774
623,099
624,213
437,580
516,564
532,261
525,412
435,478
396,213
599,911
459,610
469,799
465,774
570,227
571,387
557,961
384,634
586,962
438,627
460,619
504,962
569,612
381,634
569,747
386,146
559,683
554,034
496,874
516,448
538,521
496,862
609,136
484,020
540,395
467,601
453,966
487,694
468,398
468,343
586,283
587,619
524,152
550,212
519,415
492,599
436,366
508,351
501,647
444,702
575,069
492,382
603,182
451,209
578,903
556,564
507,116
483,116
500,163
491,117
484,687
528,246
539,991
428,810
425,783
453,451
450,985
467,904
457,512
416,942
564,492
554,463
467,715
464,557
529,848
371,267
549,838
450,667
470,282
529,330
442,109
515,404
476,116
608,415
484,104
488,446
551,133
597,777
485,620
490,189
466,526
460,545
499,839
514,839
489,477
501,246
462,649
486,240
438,636
499,057
496,317
490,662
478,456
502,251
536,477
435,522
440,391
516,991
490,438
516,718
480,237
495,656
401,729
514,557
532,790
480,533
540,049
524,089
516,743
562,783
311,691
529,424
426,585
525,512
461,830
452,261
577,741
487,663
499,031
566,702
522,978
459,492
463,307
531,625
491,584
506,568
509,299
560,567
578,294
498,338
512,403
537,429
511,024
515,245
533,506
497,983
503,460
522,590
486,858
559,013
584,507
541,734
530,833
466,603
536,544
383,273
540,836
381,046
535,182
457,598
469,755
513,275
519,498
492,443
501,323
590,675
525,069
495,459
483,113
500,336
442,505
549,270
463,796
519,903
538,915
482,220
511,725
461,502
428,237
538,993
559,012
508,422
512,448
490,214
446,950
475,413
464,586
476,192
509,098
411,523
364,874
420,524
521,567
523,493
477,725
473,354
526,484
493,392
451,219
549,358
434,406
447,460
432,238
407,298
451,790
563,147
514,707
432,678
561,721
560,875
532,721
533,913
512,808
557,860
485,255
575,297
482,016
440,048
493,584
595,204
580,880
490,520
543,101
567,224
540,227
450,852
520,995
448,043
552,591
481,766
526,523
476,373
544,128
492,601
530,453
483,624
520,711
378,237
389,089
419,511
474,658
468,284
551,695
501,503
430,935
542,888
587,727
567,149
